frame_number,timestamp_ms,frame_len,is_udp,is_rpl,is_ack,mac_src,mac_dst,mac_seq_number,mac_pan_id,mac_fcf,mac_frame_type,mac_security,mac_pending,mac_ack_req,mac_pan_id_comp,mac_dst_mode,mac_src_mode,mac_version,ip_src,ip_dst,udp_src_port,udp_dst_port,udp_len,payload_size,payload_hex,icmp_type,rpl_code,rpl_rank,rpl_version,rpl_instance_id,rpl_mop,rpl_dtsn,rpl_flags,rpl_dao_sequence,rpl_dodagid
11,11609,76,0,1,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:07,129,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:3,fe80::c30c:0:0:7,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,fd00:0:0:0:c30c:0:0:1
12,11612,5,0,0,1,,,129,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
13,12039,27,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,55,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
14,12580,76,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,92,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,fd00:0:0:0:c30c:0:0:1
15,12582,5,0,0,1,,,92,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
16,12593,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,56,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,242.0,fd00:0:0:0:c30c:0:0:1
17,12595,5,0,0,1,,,56,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
18,12668,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,57,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d30,,,,,,,,,,
19,12670,5,0,0,1,,,57,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
20,12881,97,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,130,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,1.0,512.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
21,12952,76,0,1,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,131,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:3,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,242.0,fd00:0:0:0:c30c:0:0:1
22,12954,5,0,0,1,,,131,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
23,15358,27,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,132,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
24,15524,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,58,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,243.0,fd00:0:0:0:c30c:0:0:1
25,15527,5,0,0,1,,,58,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
26,15896,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,169,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,243.0,0.0,,fd00:0:0:0:c30c:0:0:1
27,16705,102,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,93,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,1.0,780.0,240.0,30.0,16.0,240.0,0.0,,fd00:0:0:0:c30c:0:0:1
28,16708,5,0,0,1,,,93,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
29,16835,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,59,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d31,,,,,,,,,,
30,16837,5,0,0,1,,,59,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
31,17100,27,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,133,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
32,17717,97,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,134,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,1.0,448.0,240.0,30.0,16.0,242.0,0.0,,fd00:0:0:0:c30c:0:0:1
33,17873,51,1,0,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,135,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d33207365713d30,,,,,,,,,,
34,17875,5,0,0,1,,,135,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
35,18226,97,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,60,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,1.0,343.0,240.0,30.0,16.0,242.0,0.0,,fd00:0:0:0:c30c:0:0:1
36,18686,76,0,1,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,136,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:3,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,243.0,fd00:0:0:0:c30c:0:0:1
37,18689,5,0,0,1,,,136,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
38,19150,102,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,94,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,1.0,576.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
39,19154,5,0,0,1,,,94,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
40,19408,97,0,1,0,c1:0c:00:00:00:00:00:05,00:00:00:00:00:00:ff:ff,95,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:5,ff02::1a,,,,,,155.0,1.0,549.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
41,19522,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,61,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,244.0,fd00:0:0:0:c30c:0:0:1
42,19525,5,0,0,1,,,61,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
43,20240,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,170,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,244.0,0.0,,fd00:0:0:0:c30c:0:0:1
44,20874,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,62,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d32,,,,,,,,,,
45,20876,5,0,0,1,,,62,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
46,21655,27,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,63,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
47,21668,102,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,96,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,1.0,549.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
48,21672,5,0,0,1,,,96,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
49,21705,102,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,96,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,1.0,549.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
50,21710,102,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,96,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,1.0,549.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
51,21714,5,0,0,1,,,96,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
52,22947,76,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,97,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,2.0,,,30.0,,,64.0,242.0,fd00:0:0:0:c30c:0:0:1
53,22950,5,0,0,1,,,97,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
54,22983,27,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,137,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
55,23038,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,64,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,245.0,fd00:0:0:0:c30c:0:0:1
56,23041,5,0,0,1,,,64,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
57,23647,51,1,0,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,138,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d33207365713d31,,,,,,,,,,
58,23649,5,0,0,1,,,138,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
59,23780,97,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,139,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,1.0,364.0,240.0,30.0,16.0,243.0,0.0,,fd00:0:0:0:c30c:0:0:1
60,24072,97,0,1,0,c1:0c:00:00:00:00:00:05,00:00:00:00:00:00:ff:ff,98,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:5,ff02::1a,,,,,,155.0,1.0,556.0,240.0,30.0,16.0,241.0,0.0,,fd00:0:0:0:c30c:0:0:1
61,24218,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,171,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,245.0,0.0,,fd00:0:0:0:c30c:0:0:1
62,24264,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,65,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,246.0,fd00:0:0:0:c30c:0:0:1
63,24267,5,0,0,1,,,65,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
64,25039,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,66,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d33,,,,,,,,,,
65,25041,5,0,0,1,,,66,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
66,25920,76,0,1,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,140,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:3,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,244.0,fd00:0:0:0:c30c:0:0:1
67,25923,5,0,0,1,,,140,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
68,26843,97,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,67,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,1.0,306.0,240.0,30.0,16.0,244.0,0.0,,fd00:0:0:0:c30c:0:0:1
69,27694,51,1,0,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,141,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d33207365713d32,,,,,,,,,,
70,27696,5,0,0,1,,,141,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
71,29327,27,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,68,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
72,29796,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,69,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d34,,,,,,,,,,
73,29798,5,0,0,1,,,69,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
74,29798,76,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,99,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,2.0,,,30.0,,,64.0,243.0,fd00:0:0:0:c30c:0:0:1
75,29801,5,0,0,1,,,99,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
76,29811,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,70,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,247.0,fd00:0:0:0:c30c:0:0:1
77,29814,5,0,0,1,,,70,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
78,31459,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,172,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,246.0,0.0,,fd00:0:0:0:c30c:0:0:1
79,31912,51,1,0,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,142,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d33207365713d33,,,,,,,,,,
80,31914,5,0,0,1,,,142,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
81,32366,97,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,143,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,1.0,334.0,240.0,30.0,16.0,245.0,0.0,,fd00:0:0:0:c30c:0:0:1
82,32847,97,0,1,0,c1:0c:00:00:00:00:00:05,00:00:00:00:00:00:ff:ff,100,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:5,ff02::1a,,,,,,155.0,1.0,510.0,240.0,30.0,16.0,242.0,0.0,,fd00:0:0:0:c30c:0:0:1
83,32975,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,71,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d35,,,,,,,,,,
84,32999,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,71,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d35,,,,,,,,,,
85,33001,5,0,0,1,,,71,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
86,33803,76,0,1,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,144,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:3,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,245.0,fd00:0:0:0:c30c:0:0:1
87,33806,5,0,0,1,,,144,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
88,34147,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,72,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,248.0,fd00:0:0:0:c30c:0:0:1
89,34150,5,0,0,1,,,72,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
90,34163,97,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,73,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,1.0,304.0,240.0,30.0,16.0,245.0,0.0,,fd00:0:0:0:c30c:0:0:1
91,35460,27,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,74,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
92,35913,27,0,1,0,c1:0c:00:00:00:00:00:02,00:00:00:00:00:00:ff:ff,19,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:2,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
93,36201,51,1,0,0,c1:0c:00:00:00:00:00:03,c1:0c:00:00:00:00:00:01,145,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d33207365713d34,,,,,,,,,,
94,36203,5,0,0,1,,,145,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
95,36392,79,1,0,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,101,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,::c30c:0:0:1,6001.0,9001.0,38.0,30.0,4553544f20455320554e20415441515545204553544f20455320554e2000,,,,,,,,,,
96,36395,5,0,0,1,,,101,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
97,36429,80,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,75,43981.0,56417,1,0,0,1,1,3,3,1,::c30c:0:0:5,fe80::c30c:0:0:1,6001.0,9001.0,38.0,30.0,4553544f20455320554e20415441515545204553544f20455320554e2000,,,,,,,,,,
98,36432,5,0,0,1,,,75,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
99,36905,27,0,1,0,c1:0c:00:00:00:00:00:06,00:00:00:00:00:00:ff:ff,199,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:6,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
100,37010,27,0,1,0,c1:0c:00:00:00:00:00:04,00:00:00:00:00:00:ff:ff,237,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:4,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
101,37296,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,76,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d36,,,,,,,,,,
102,37298,5,0,0,1,,,76,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
103,37623,27,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,146,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
104,37711,27,0,1,0,c1:0c:00:00:00:00:00:08,00:00:00:00:00:00:ff:ff,161,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:8,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
105,38080,97,0,1,0,c1:0c:00:00:00:00:00:05,00:00:00:00:00:00:ff:ff,102,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:5,ff02::1a,,,,,,155.0,1.0,500.0,240.0,30.0,16.0,243.0,0.0,,fd00:0:0:0:c30c:0:0:1
106,38123,97,0,1,0,c1:0c:00:00:00:00:00:01,00:00:00:00:00:00:ff:ff,173,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:1,ff02::1a,,,,,,155.0,1.0,128.0,240.0,30.0,16.0,247.0,0.0,,fd00:0:0:0:c30c:0:0:1
107,38931,76,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,103,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,2.0,,,30.0,,,64.0,244.0,fd00:0:0:0:c30c:0:0:1
108,38936,76,0,1,0,c1:0c:00:00:00:00:00:05,c1:0c:00:00:00:00:00:07,103,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:5,fe80::c30c:0:0:7,,,,,,155.0,2.0,,,30.0,,,64.0,244.0,fd00:0:0:0:c30c:0:0:1
109,38939,5,0,0,1,,,103,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
110,38944,76,0,1,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,77,43981.0,56417,1,0,0,1,1,3,3,1,fe80::c30c:0:0:7,fe80::c30c:0:0:1,,,,,,155.0,2.0,,,30.0,,,64.0,249.0,fd00:0:0:0:c30c:0:0:1
111,38947,5,0,0,1,,,77,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
112,39374,97,0,1,0,c1:0c:00:00:00:00:00:03,00:00:00:00:00:00:ff:ff,147,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:3,ff02::1a,,,,,,155.0,1.0,312.0,240.0,30.0,16.0,245.0,0.0,,fd00:0:0:0:c30c:0:0:1
113,39907,97,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,78,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,1.0,286.0,240.0,30.0,16.0,246.0,0.0,,fd00:0:0:0:c30c:0:0:1
114,40389,27,0,1,0,c1:0c:00:00:00:00:00:07,00:00:00:00:00:00:ff:ff,79,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:7,ff02::1a,,,,,,155.0,0.0,,,,,,0.0,,
115,40764,51,1,0,0,c1:0c:00:00:00:00:00:07,c1:0c:00:00:00:00:00:01,80,43981.0,56417,1,0,0,1,1,3,3,1,fe80::,fe80::c30c:0:0:1,6001.0,9001.0,18.0,10.0,69643d37207365713d37,,,,,,,,,,
116,40766,5,0,0,1,,,80,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
117,40987,97,0,1,0,c1:0c:00:00:00:00:00:04,00:00:00:00:00:00:ff:ff,238,43981.0,55361,1,0,0,0,1,2,3,1,fe80::c30c:0:0:4,ff02::1a,,,,,,155.0,1.0,512.0,240.0,30.0,16.0,240.0,0.0,,fd00:0:0:0:c30c:0:0:1
